data,sample,gen,gen_args,gen_str,gen_n,max_k,min_k,range_k,za,info_loss,alpha_adm,alpha_dm,info_loss_args,info_loss_args_str,handler_str,calgo,calgo_args,calgo_str,enforcer,enforcer_str,enforcer_args,max_dist,adm,dm,am,num_fake_edges,radm,num_raw_entities,num_anonymized_entities,num_raw_edges,num_anonymized_edges,anonymized_anonymity,anonymized_attribute_anonymity,anonymized_degree_anonymity,removed_entities,num_removed_edges,num_anonymized_fake_entities
yago,-1,zipf,"2,5,1,2","zipf#2,5,1,2",2,5,2,1,2.0,adm,0.5,0.5,"[0.5, 0.5]","0.50,0.50",n,km,mean,km#mean,sr,sr,,,0.4927374793169346,0.4858964547873543,0.4995785038465019,1454754,0.013541781107726742,8917,4585,96366,1472088,1,2,1,4332,79032,0
yago,-1,zipf,"5,50,5,2","zipf#5,50,5,2",0,50,5,5,2.0,adm,0.5,0.5,"[0.5, 0.5]","0.50,0.50",n,hdbscan,mean,hdbscan#mean,ms,ms#1.00,1.00,1.0,0.01400910535190765,6.432290493180173e-05,0.027953887798883633,2234902,0.01400910535190765,8917,8917,96366,2330180,1,7,1,0,1088,0
yago,-1,te,"5,50,5","te#5,50,5",0,50,5,5,,adm,0.5,0.5,"[0.5, 0.5]","0.50,0.50",n,hdbscan,min,hdbscan#min,sr,sr,,,0.33430783199021474,2.3071731175555855e-05,0.668592592249256,48319724,0.33430783199021474,8917,8917,96366,48414229,1,5,1,0,1861,0
yago,-1,zipf,"5,50,5,2","zipf#5,50,5,2",1,50,5,5,2.0,adm,0.5,0.5,"[0.5, 0.5]","0.50,0.50",n,hdbscan,mean,hdbscan#mean,ms,ms#0.50,0.50,0.5,0.01420927709031425,1.5085604548967389e-05,0.02840346857607942,2256586,0.01420927709031425,8917,8917,96366,2351135,1,5,1,0,1817,0
yago,-1,zipf,"5,50,5,2","zipf#5,50,5,2",2,50,5,5,2.0,adm,0.5,0.5,"[0.5, 0.5]","0.50,0.50",n,km,min,km#min,sr,sr,,,0.37990599086101967,0.3532378017983771,0.40657417992362593,5635738,0.041408800419293415,8917,5768,96366,5680013,1,5,1,3149,52091,0
yago,-1,zipf,"5,50,5,2","zipf#5,50,5,2",1,50,5,5,2.0,adm,0.5,0.5,"[0.5, 0.5]","0.50,0.50",n,km,mean,km#mean,ms,ms#0.50,0.50,0.5,0.02699551562177962,0.011409801120419602,0.0425812301231396,2500564,0.01584882696660552,8917,8816,96366,2592378,1,6,1,101,4552,0
yago,-1,te,"2,5,1","te#2,5,1",0,5,2,1,,adm,0.5,0.5,"[0.5, 0.5]","0.50,0.50",n,hdbscan,mean,hdbscan#mean,sr,sr,,,0.25466343277564674,0.00039931576376253257,0.5089275497875329,36596561,0.25466343277564674,8917,8917,96366,36692333,1,2,1,0,594,0
yago,-1,zipf,"5,50,5,2","zipf#5,50,5,2",1,50,5,5,2.0,adm,0.5,0.5,"[0.5, 0.5]","0.50,0.50",n,hdbscan,min,hdbscan#min,ms,ms#0.00,0.00,0.0,0.2630756058716365,0.2512870476256994,0.2748641641175748,1887265,0.015870459496866707,8917,6677,96366,1964393,1,5,1,2240,19238,0
yago,-1,zipf,"5,50,5,2","zipf#5,50,5,2",2,50,5,5,2.0,adm,0.5,0.5,"[0.5, 0.5]","0.50,0.50",n,hdbscan,max,hdbscan#max,ms,ms#0.25,0.25,0.25,0.013761444159811257,8.570623059614702e-05,0.027437182089026235,2168464,0.013761444159811257,8917,8917,96366,2263999,1,25,1,0,831,0
yago,-1,zipf,"5,50,5,2","zipf#5,50,5,2",0,50,5,5,2.0,adm,0.5,0.5,"[0.5, 0.5]","0.50,0.50",n,km,max,km#max,ms,ms#0.50,0.50,0.5,0.014409839029252384,0.00023453430298577257,0.0285851437555188,2294097,0.014299304152668082,8917,8916,96366,2386720,1,25,1,1,3743,0
yago,-1,zipf,"5,50,5,2","zipf#5,50,5,2",1,50,5,5,2.0,adm,0.5,0.5,"[0.5, 0.5]","0.50,0.50",n,km,min,km#min,ms,ms#0.00,0.00,0.0,0.36984240423011727,0.36427826342719527,0.37540654503303167,1140266,0.008813169482827933,8917,5669,96366,1184577,1,5,1,3248,52055,0
