anonymized_anonymity,num_anonymized_edges,num_removed_edges,data,calgo,min_k,num_raw_edges,alpha_adm,anonymized_attribute_anonymity,anonymized_degree_anonymity,handler_str,enforcer,enforcer_str,gen,gen_str,num_anonymized_fake_entities,max_k,sample,max_dist,range_k,za,info_loss_args_str,info_loss,alpha_dm,num_fake_edges,num_anonymized_entities,calgo_str,gen_n,adm,dm,am,radm,num_raw_entities,removed_entities
1,795756,4900,yago,vac,5,96366,0.5,5,1,n,ms,ms#0.00,zipf,"zipf#5,50,5,2",0,50,-1,0.0,5,2.0,"0.50,0.50",adm,0.5,704290,8840,vac,2,0.012812028579901873,0.008685780490254825,0.01693827666954913,0.004213441572342836,8917,77
1,795756,4900,yago,vac,5,96366,0.5,5,1,n,sr,sr,zipf,"zipf#5,50,5,2",0,50,-1,,5,2.0,"0.50,0.50",adm,0.5,704290,8840,vac,2,0.012812028579901873,0.008685780490254825,0.01693827666954913,0.004213441572342836,8917,77
1,808974,5650,yago,vac,5,96366,0.5,5,1,n,ms,ms#0.00,zipf,"zipf#5,50,5,2",0,50,-1,0.0,5,2.0,"0.50,0.50",adm,0.5,718258,8830,vac,1,0.013913782850755892,0.009807274767742362,0.018020290933769598,0.004198349466801609,8917,87
1,808974,5650,yago,vac,5,96366,0.5,5,1,n,sr,sr,zipf,"zipf#5,50,5,2",0,50,-1,,5,2.0,"0.50,0.50",adm,0.5,718258,8830,vac,1,0.013913782850755892,0.009807274767742362,0.018020290933769598,0.004198349466801609,8917,87
1,820165,4295,yago,vac,5,96366,0.5,5,1,n,ms,ms#0.25,zipf,"zipf#5,50,5,2",0,50,-1,0.25,5,2.0,"0.50,0.50",adm,0.5,728094,8914,vac,2,0.004767958538844794,0.0003762063028548665,0.009159710774834703,0.004433020637915472,8917,3
1,824142,3658,yago,vac,5,96366,0.5,5,1,n,ms,ms#0.50,zipf,"zipf#5,50,5,2",0,50,-1,0.5,5,2.0,"0.50,0.50",adm,0.5,731434,8916,vac,2,0.00460454364393124,0.00015902767663239923,0.00905005961123006,0.004492904791019781,8917,1
1,830067,298,yago,vac,5,96366,0.5,5,1,n,ms,ms#0.75,zipf,"zipf#5,50,5,2",0,50,-1,0.75,5,2.0,"0.50,0.50",adm,0.5,733999,8917,vac,2,0.004563003033124151,4.6882336271293115e-05,0.009079123729977013,0.004563003033124151,8917,0
1,830067,298,yago,vac,5,96366,0.5,5,1,n,ms,ms#1.00,zipf,"zipf#5,50,5,2",0,50,-1,1.0,5,2.0,"0.50,0.50",adm,0.5,733999,8917,vac,2,0.004563003033124151,4.6882336271293115e-05,0.009079123729977013,0.004563003033124151,8917,0
1,836067,4134,yago,vac,5,96366,0.5,5,1,n,ms,ms#0.50,zipf,"zipf#5,50,5,2",0,50,-1,0.5,5,2.0,"0.50,0.50",adm,0.5,743835,8916,vac,1,0.004743383158109984,0.00015455670337925033,0.00933220961284073,0.004631759626393743,8917,1
1,837612,3914,yago,vac,5,96366,0.5,5,1,n,ms,ms#0.25,zipf,"zipf#5,50,5,2",0,50,-1,0.25,5,2.0,"0.50,0.50",adm,0.5,745160,8913,vac,1,0.005005930404764837,0.0004974114951350826,0.009514449314394649,0.004559405264600427,8917,4
