data,sample,gen,gen_args,gen_str,gen_n,max_k,min_k,range_k,za,info_loss,alpha_adm,alpha_dm,info_loss_args,info_loss_args_str,handler_str,calgo,calgo_args,calgo_str,enforcer,enforcer_str,enforcer_args,max_dist,adm,dm,am,num_fake_edges,radm,num_raw_entities,num_anonymized_entities,num_raw_edges,num_anonymized_edges,anonymized_anonymity,anonymized_attribute_anonymity,anonymized_degree_anonymity,removed_entities,num_removed_edges,num_anonymized_fake_entities
freebase,-1,zipf,"5,50,5,2","zipf#5,50,5,2",2,50,5,5,2.0,adm,0.5,0.5,"[0.5, 0.5]","0.50,0.50",n,hdbscan,min,hdbscan#min,ms,ms#0.00,0.00,0.0,0.0280924224593009,0.0031600733333334886,0.05302477158526831,1038759,0.02516816779518384,5000,4985,43780,1081118,1,25,1,15,1421,0
freebase,-1,zipf,"5,50,5,2","zipf#5,50,5,2",1,50,5,5,2.0,adm,0.5,0.5,"[0.5, 0.5]","0.50,0.50",n,km,mean,km#mean,sr,sr,,,0.6493865074735059,0.6332180066666617,0.6655550082803454,850044,0.04417134612853616,5000,1834,43780,863841,1,5,1,3166,29983,0
freebase,-1,zipf,"2,5,1,2","zipf#2,5,1,2",2,5,2,1,2.0,adm,0.5,0.5,"[0.5, 0.5]","0.50,0.50",n,km,mean,km#mean,sr,sr,,,0.48553077034085945,0.4808507866666626,0.4902107540150512,317756,0.009156944500816994,5000,2596,43780,337855,1,2,1,2404,23681,0
freebase,-1,zipf,"5,50,5,2","zipf#5,50,5,2",0,50,5,5,2.0,adm,0.5,0.5,"[0.5, 0.5]","0.50,0.50",n,hdbscan,mean,hdbscan#mean,ms,ms#1.00,1.00,1.0,0.026608571903332597,0.00021653333333332135,0.05300061047333162,1076768,0.026608571903332597,5000,5000,43780,1119951,1,50,1,0,597,0
freebase,-1,te,"5,50,5","te#5,50,5",0,50,5,5,,adm,0.5,0.5,"[0.5, 0.5]","0.50,0.50",n,hdbscan,min,hdbscan#min,sr,sr,,,0.33390566247437076,0.003496566666666616,0.6643147582820739,19765226,0.33190211591338453,5000,4985,43780,19808547,1,622,1,15,459,0
freebase,-1,zipf,"5,50,5,2","zipf#5,50,5,2",1,50,5,5,2.0,adm,0.5,0.5,"[0.5, 0.5]","0.50,0.50",n,hdbscan,mean,hdbscan#mean,ms,ms#0.50,0.50,0.5,0.027020184865562517,0.0013590800000000617,0.05268128973112508,1043702,0.02585130199062654,5000,4994,43780,1085980,1,25,1,6,1502,0
freebase,-1,zipf,"5,50,5,2","zipf#5,50,5,2",2,50,5,5,2.0,adm,0.5,0.5,"[0.5, 0.5]","0.50,0.50",n,km,min,km#min,sr,sr,,,0.6693705614360065,0.6532345133333315,0.6855066095386807,825859,0.046721639207452884,5000,1734,43780,838558,1,5,1,3266,31081,0
freebase,-1,zipf,"5,50,5,2","zipf#5,50,5,2",1,50,5,5,2.0,adm,0.5,0.5,"[0.5, 0.5]","0.50,0.50",n,km,mean,km#mean,ms,ms#0.50,0.50,0.5,0.02984293100571984,0.00013755999999999212,0.05954830201143987,1176349,0.02984293100571984,5000,5000,43780,1218065,1,19,1,0,2064,0
freebase,-1,te,"2,5,1","te#2,5,1",0,5,2,1,,adm,0.5,0.5,"[0.5, 0.5]","0.50,0.50",n,hdbscan,mean,hdbscan#mean,sr,sr,,,0.32110274658336097,0.0005566799999999903,0.6416488131667211,19167409,0.3208311103760516,5000,4998,43780,19209154,1,2,1,2,2035,0
freebase,-1,zipf,"5,50,5,2","zipf#5,50,5,2",1,50,5,5,2.0,adm,0.5,0.5,"[0.5, 0.5]","0.50,0.50",n,hdbscan,min,hdbscan#min,ms,ms#0.00,0.00,0.0,0.02853165918263525,0.0031845666666667984,0.053878751698604184,1048508,0.025608763155149903,5000,4985,43780,1091285,1,12,1,15,1003,0
freebase,-1,zipf,"5,50,5,2","zipf#5,50,5,2",2,50,5,5,2.0,adm,0.5,0.5,"[0.5, 0.5]","0.50,0.50",n,hdbscan,max,hdbscan#max,ms,ms#0.25,0.25,0.25,0.028401790198641322,0.003165740000000121,0.053637840397282616,1041813,0.025478474981660483,5000,4985,43780,1084448,1,25,1,15,1145,0
freebase,-1,zipf,"5,50,5,2","zipf#5,50,5,2",0,50,5,5,2.0,adm,0.5,0.5,"[0.5, 0.5]","0.50,0.50",n,km,max,km#max,ms,ms#0.50,0.50,0.5,0.027856450100771906,0.0004147466666666575,0.05529815353487711,1101142,0.027662003980530418,5000,4999,43780,1144067,1,5,1,1,855,0
freebase,-1,zipf,"5,50,5,2","zipf#5,50,5,2",1,50,5,5,2.0,adm,0.5,0.5,"[0.5, 0.5]","0.50,0.50",n,km,min,km#min,ms,ms#0.00,0.00,0.0,0.6820396240634956,0.675636099999997,0.6884431481269937,341042,0.019966754769483657,5000,1622,43780,352974,1,5,1,3378,31848,0
freebase,-1,zipf,"5,50,5,2","zipf#5,50,5,2",0,50,5,5,2.0,adm,0.5,0.5,"[0.5, 0.5]","0.50,0.50",n,km,min,km#min,sr,sr,,,0.689471790017966,0.6734181933333284,0.7055253867025958,813885,0.04926682784532372,5000,1633,43780,825867,1,5,1,3367,31798,0
freebase,-1,zipf,"5,50,5,2","zipf#5,50,5,2",1,50,5,5,2.0,adm,0.5,0.5,"[0.5, 0.5]","0.50,0.50",n,vac,,vac,ms,ms#0.25,0.25,0.25,0.009250081346334073,0.00012494666666666444,0.018375216026001496,348959,0.009250081346334073,5000,5000,43780,392529,1,5,1,0,210,0
freebase,-1,zipf,"2,5,1,2","zipf#2,5,1,2",0,5,2,1,2.0,adm,0.5,0.5,"[0.5, 0.5]","0.50,0.50",n,km,min,km#min,sr,sr,,,0.47851372452045443,0.47564337999999673,0.4813840690409114,198706,0.0055938140284517105,5000,2622,43780,218888,1,2,1,2378,23598,0
freebase,-1,zipf,"5,50,5,2","zipf#5,50,5,2",0,50,5,5,2.0,adm,0.5,0.5,"[0.5, 0.5]","0.50,0.50",n,hdbscan,max,hdbscan#max,sr,sr,,,0.33390566247437076,0.003496566666666616,0.6643147582820739,19765226,0.33190211591338453,5000,4985,43780,19808547,1,622,1,15,459,0
freebase,-1,zipf,"5,50,5,2","zipf#5,50,5,2",0,50,5,5,2.0,adm,0.5,0.5,"[0.5, 0.5]","0.50,0.50",n,km,mean,km#mean,ms,ms#0.75,0.75,0.75,0.029891878465049353,0.00025099999999998534,0.05953275693009858,1193266,0.029891878465049353,5000,5000,43780,1236710,1,12,1,0,336,0
freebase,-1,zipf,"5,50,5,2","zipf#5,50,5,2",1,50,5,5,2.0,adm,0.5,0.5,"[0.5, 0.5]","0.50,0.50",n,hdbscan,mean,hdbscan#mean,ms,ms#0.00,0.00,0.0,0.028543986619132402,0.003180646666666839,0.053907326571598205,1046985,0.025621121769797875,5000,4985,43780,1089610,1,25,1,15,1155,0
freebase,-1,zipf,"2,5,1,2","zipf#2,5,1,2",0,5,2,1,2.0,adm,0.5,0.5,"[0.5, 0.5]","0.50,0.50",n,hdbscan,mean,hdbscan#mean,sr,sr,,,0.32747843186679276,0.006914346666666587,0.6480425170669201,19162817,0.3228743690165693,5000,4966,43780,19204381,1,2,1,34,2216,0
freebase,-1,te,"2,5,1","te#2,5,1",0,5,2,1,,adm,0.5,0.5,"[0.5, 0.5]","0.50,0.50",n,km,max,km#max,sr,sr,,,0.13401133689285288,0.11950315333333167,0.14851952045237318,748030,0.016600420327774944,5000,4403,43780,784489,1,2,1,597,7321,0
freebase,-1,te,"2,5,1","te#2,5,1",0,5,2,1,,adm,0.5,0.5,"[0.5, 0.5]","0.50,0.50",n,vac,,vac,sr,sr,,,0.0013116672624233663,0.0006193866666666666,0.0020039478581800724,30379,0.000712100342120338,5000,4997,43780,74003,1,2,1,3,156,0
freebase,-1,zipf,"5,50,5,2","zipf#5,50,5,2",0,50,5,5,2.0,adm,0.5,0.5,"[0.5, 0.5]","0.50,0.50",n,hdbscan,min,hdbscan#min,ms,ms#1.00,1.00,1.0,0.02601440919882541,0.0002309466666666538,0.051797871730984275,1051596,0.02601440919882541,5000,5000,43780,1094868,1,25,1,0,508,0
freebase,-1,zipf,"5,50,5,2","zipf#5,50,5,2",0,50,5,5,2.0,adm,0.5,0.5,"[0.5, 0.5]","0.50,0.50",n,hdbscan,max,hdbscan#max,ms,ms#0.00,0.00,0.0,0.028775944906750204,0.003218393333333465,0.05433349648016701,1067799,0.025853834987439653,5000,4985,43780,1111060,1,50,1,15,519,0
freebase,-1,zipf,"5,50,5,2","zipf#5,50,5,2",0,50,5,5,2.0,adm,0.5,0.5,"[0.5, 0.5]","0.50,0.50",n,vac,,vac,ms,ms#0.25,0.25,0.25,0.008711576672071734,0.00010105333333333104,0.017322100010810162,320678,0.008711576672071734,5000,5000,43780,363862,1,5,1,0,596,0
freebase,-1,zipf,"5,50,5,2","zipf#5,50,5,2",1,50,5,5,2.0,adm,0.5,0.5,"[0.5, 0.5]","0.50,0.50",n,km,min,km#min,ms,ms#1.00,1.00,1.0,0.029273959098446916,0.0002209599999999877,0.058326958196893576,1169900,0.029273959098446916,5000,5000,43780,1213015,1,5,1,0,665,0
freebase,-1,te,"2,5,1","te#2,5,1",0,5,2,1,,adm,0.5,0.5,"[0.5, 0.5]","0.50,0.50",n,hdbscan,max,hdbscan#max,sr,sr,,,0.330948233594612,0.0004970533333333012,0.66139941385589,19766474,0.330948233594612,5000,5000,43780,19809936,2,15,2,0,318,0
freebase,-1,zipf,"5,50,5,2","zipf#5,50,5,2",0,50,5,5,2.0,adm,0.5,0.5,"[0.5, 0.5]","0.50,0.50",n,hdbscan,mean,hdbscan#mean,ms,ms#0.75,0.75,0.75,0.026406617697355795,0.0002169599999999889,0.05259627539471164,1064418,0.026406617697355795,5000,5000,43780,1107689,1,25,1,0,509,0
freebase,-1,zipf,"5,50,5,2","zipf#5,50,5,2",2,50,5,5,2.0,adm,0.5,0.5,"[0.5, 0.5]","0.50,0.50",n,hdbscan,mean,hdbscan#mean,ms,ms#1.00,1.00,1.0,0.02577559687311338,0.0001317199999999928,0.05141947374622667,1043256,0.02577559687311338,5000,5000,43780,1085446,1,25,1,0,1590,0
freebase,-1,zipf,"2,5,1,2","zipf#2,5,1,2",0,5,2,1,2.0,adm,0.5,0.5,"[0.5, 0.5]","0.50,0.50",n,km,mean,km#mean,sr,sr,,,0.4864968503323241,0.4822517333333303,0.49074196733131514,287115,0.008344802246453942,5000,2589,43780,307206,1,2,1,2411,23689,0
freebase,-1,zipf,"2,5,1,2","zipf#2,5,1,2",1,5,2,1,2.0,adm,0.5,0.5,"[0.5, 0.5]","0.50,0.50",n,hdbscan,max,hdbscan#max,sr,sr,,,0.330948233594612,0.0004970533333333012,0.66139941385589,19766474,0.330948233594612,5000,5000,43780,19809936,2,15,2,0,318,0
freebase,-1,zipf,"5,50,5,2","zipf#5,50,5,2",2,50,5,5,2.0,adm,0.5,0.5,"[0.5, 0.5]","0.50,0.50",n,vac,,vac,ms,ms#1.00,1.00,1.0,0.009345177147926521,9.982666666666387e-05,0.018590527629186438,350052,0.009345177147926521,5000,5000,43780,392900,1,5,1,0,932,0
freebase,-1,zipf,"5,50,5,2","zipf#5,50,5,2",2,50,5,5,2.0,adm,0.5,0.5,"[0.5, 0.5]","0.50,0.50",n,km,mean,km#mean,ms,ms#0.00,0.00,0.0,0.6707930345801308,0.6640274733333258,0.6775585958269251,342048,0.020298157291578852,5000,1680,43780,354511,1,5,1,3320,31317,0
freebase,-1,zipf,"5,50,5,2","zipf#5,50,5,2",1,50,5,5,2.0,adm,0.5,0.5,"[0.5, 0.5]","0.50,0.50",n,vac,,vac,ms,ms#1.00,1.00,1.0,0.009250081346334073,0.00012494666666666444,0.018375216026001496,348959,0.009250081346334073,5000,5000,43780,392529,1,5,1,0,210,0
freebase,-1,zipf,"2,5,1,2","zipf#2,5,1,2",2,5,2,1,2.0,adm,0.5,0.5,"[0.5, 0.5]","0.50,0.50",n,hdbscan,max,hdbscan#max,sr,sr,,,0.330948233594612,0.0004970533333333012,0.66139941385589,19766474,0.330948233594612,5000,5000,43780,19809936,2,15,2,0,318,0
freebase,-1,zipf,"5,50,5,2","zipf#5,50,5,2",2,50,5,5,2.0,adm,0.5,0.5,"[0.5, 0.5]","0.50,0.50",n,km,min,km#min,ms,ms#0.25,0.25,0.25,0.031126039884498254,0.003237366666666803,0.05901471310232987,1146901,0.02821103009615087,5000,4985,43780,1190108,1,7,1,15,573,0
freebase,-1,zipf,"5,50,5,2","zipf#5,50,5,2",1,50,5,5,2.0,adm,0.5,0.5,"[0.5, 0.5]","0.50,0.50",n,km,min,km#min,sr,sr,,,0.692156516564076,0.6756440200000016,0.708669013128152,899253,0.05117865258774536,5000,1622,43780,911117,1,5,1,3378,31916,0
freebase,-1,zipf,"5,50,5,2","zipf#5,50,5,2",2,50,5,5,2.0,adm,0.5,0.5,"[0.5, 0.5]","0.50,0.50",n,km,min,km#min,ms,ms#0.50,0.50,0.5,0.029254723042033873,0.00021255999999998738,0.05829688608406752,1174883,0.029254723042033873,5000,5000,43780,1217916,1,16,1,0,747,0
freebase,-1,zipf,"5,50,5,2","zipf#5,50,5,2",1,50,5,5,2.0,adm,0.5,0.5,"[0.5, 0.5]","0.50,0.50",n,km,max,km#max,ms,ms#0.25,0.25,0.25,0.029755339944357074,0.0031302733333333933,0.05638040655538084,1099830,0.02683604407457476,5000,4985,43780,1141863,1,8,1,15,1747,0
freebase,-1,zipf,"5,50,5,2","zipf#5,50,5,2",2,50,5,5,2.0,adm,0.5,0.5,"[0.5, 0.5]","0.50,0.50",n,hdbscan,mean,hdbscan#mean,sr,sr,,,0.33390566247437076,0.003496566666666616,0.6643147582820739,19765226,0.33190211591338453,5000,4985,43780,19808547,1,622,1,15,459,0
freebase,-1,zipf,"2,5,1,2","zipf#2,5,1,2",0,5,2,1,2.0,adm,0.5,0.5,"[0.5, 0.5]","0.50,0.50",n,vac,,vac,sr,sr,,,0.0017632825508514492,0.0006290933333333333,0.002897471768369563,48141,0.0011639896778981337,5000,4997,43780,91755,1,2,1,3,166,0
freebase,-1,zipf,"5,50,5,2","zipf#5,50,5,2",2,50,5,5,2.0,adm,0.5,0.5,"[0.5, 0.5]","0.50,0.50",n,km,mean,km#mean,ms,ms#0.25,0.25,0.25,0.03144275245164736,0.0031519000000001197,0.05973360490329486,1165822,0.02852856668731598,5000,4985,43780,1208163,1,15,1,15,1439,0
freebase,-1,zipf,"5,50,5,2","zipf#5,50,5,2",1,50,5,5,2.0,adm,0.5,0.5,"[0.5, 0.5]","0.50,0.50",n,hdbscan,max,hdbscan#max,ms,ms#0.75,0.75,0.75,0.025989093193021763,0.00022573333333332065,0.05175245305271028,1053777,0.025989093193021763,5000,5000,43780,1097011,1,25,1,0,546,0
freebase,-1,zipf,"5,50,5,2","zipf#5,50,5,2",2,50,5,5,2.0,adm,0.5,0.5,"[0.5, 0.5]","0.50,0.50",n,vac,,vac,ms,ms#0.75,0.75,0.75,0.009345177147926521,9.982666666666387e-05,0.018590527629186438,350052,0.009345177147926521,5000,5000,43780,392900,1,5,1,0,932,0
freebase,-1,zipf,"5,50,5,2","zipf#5,50,5,2",2,50,5,5,2.0,adm,0.5,0.5,"[0.5, 0.5]","0.50,0.50",n,hdbscan,mean,hdbscan#mean,ms,ms#0.75,0.75,0.75,0.02603232078339149,0.00018247999999998984,0.05188216156678311,1051526,0.02603232078339149,5000,5000,43780,1094294,1,25,1,0,1012,0
freebase,-1,zipf,"2,5,1,2","zipf#2,5,1,2",2,5,2,1,2.0,adm,0.5,0.5,"[0.5, 0.5]","0.50,0.50",n,km,min,km#min,sr,sr,,,0.47861214697817595,0.4750436866666636,0.48218060728968676,242990,0.006917923798189279,5000,2625,43780,263139,1,2,1,2375,23631,0
freebase,-1,zipf,"5,50,5,2","zipf#5,50,5,2",1,50,5,5,2.0,adm,0.5,0.5,"[0.5, 0.5]","0.50,0.50",n,km,min,km#min,ms,ms#0.25,0.25,0.25,0.03153754701569414,0.0031934600000001027,0.0598816340313883,1155894,0.028623709206503183,5000,4985,43780,1198344,1,22,1,15,1330,0
freebase,-1,zipf,"5,50,5,2","zipf#5,50,5,2",1,50,5,5,2.0,adm,0.5,0.5,"[0.5, 0.5]","0.50,0.50",n,hdbscan,mean,hdbscan#mean,ms,ms#0.75,0.75,0.75,0.026249787750774613,0.00022802666666665367,0.052271548834882664,1057649,0.026249787750774613,5000,5000,43780,1100929,1,25,1,0,500,0
freebase,-1,zipf,"2,5,1,2","zipf#2,5,1,2",1,5,2,1,2.0,adm,0.5,0.5,"[0.5, 0.5]","0.50,0.50",n,hdbscan,mean,hdbscan#mean,sr,sr,,,0.3273571953661458,0.006872000000000564,0.6478423907322903,19175953,0.32288916743473395,5000,4967,43780,19218123,1,2,1,33,1610,0
freebase,-1,zipf,"5,50,5,2","zipf#5,50,5,2",2,50,5,5,2.0,adm,0.5,0.5,"[0.5, 0.5]","0.50,0.50",n,km,max,km#max,ms,ms#0.50,0.50,0.5,0.02963704423437081,0.00038930666666665386,0.05888478180207477,1143941,0.029442951759175995,5000,4999,43780,1186154,1,20,1,1,1567,0
freebase,-1,te,"5,50,5","te#5,50,5",0,50,5,5,,adm,0.5,0.5,"[0.5, 0.5]","0.50,0.50",n,km,min,km#min,sr,sr,,,0.5658718090323738,0.5508336666666586,0.5809099513980851,765121,0.03359850785161024,5000,2246,43780,782223,1,15,2,2754,26678,0
freebase,-1,zipf,"5,50,5,2","zipf#5,50,5,2",0,50,5,5,2.0,adm,0.5,0.5,"[0.5, 0.5]","0.50,0.50",n,hdbscan,min,hdbscan#min,ms,ms#0.50,0.50,0.5,0.028301227665445447,0.00140396000000007,0.05519849533089098,1083315,0.027133910881530977,5000,4994,43780,1125914,1,50,1,6,1181,0
