calgo_str,enforcer,info_loss_args_str,gen,alpha_dm,sample,enforcer_str,max_dist,anonymized_anonymity,alpha_adm,data,anonymized_attribute_anonymity,num_anonymized_edges,info_loss,num_removed_edges,max_k,handler_str,anonymized_degree_anonymity,za,gen_str,range_k,min_k,num_anonymized_entities,num_anonymized_fake_entities,calgo,num_raw_edges,num_fake_edges,gen_n,adm,dm,am,radm,num_raw_entities,removed_entities
hdbscan#mean,sr,"0.50,0.50",zipf,0.5,-1,sr,,1,0.5,freebase,2,19204381,adm,2216,5,n,1,2.0,"zipf#2,5,1,2",1,2,4966,0,hdbscan,43780,19162817,0,0.32747843186679276,0.006914346666666587,0.6480425170669201,0.3228743690165693,5000,34
hdbscan#mean,sr,"0.50,0.50",zipf,0.5,-1,sr,,1,0.5,freebase,2,19216913,adm,1668,5,n,1,2.0,"zipf#2,5,1,2",1,2,4981,0,hdbscan,43780,19174801,2,0.3245504821873208,0.004054933333333615,0.6450460310413062,0.32197447139961277,5000,19
hdbscan#mean,sr,"0.50,0.50",zipf,0.5,-1,sr,,1,0.5,freebase,2,19218123,adm,1610,5,n,1,2.0,"zipf#2,5,1,2",1,2,4967,0,hdbscan,43780,19175953,1,0.3273571953661458,0.006872000000000564,0.6478423907322903,0.32288916743473395,5000,33
hdbscan#mean,sr,"0.50,0.50",zipf,0.5,-1,sr,,1,0.5,freebase,622,19808547,adm,459,50,n,1,2.0,"zipf#5,50,5,2",5,5,4985,0,hdbscan,43780,19765226,1,0.33390566247437076,0.003496566666666616,0.6643147582820739,0.33190211591338453,5000,15
hdbscan#min,ms,"0.50,0.50",zipf,0.5,-1,ms#0.00,0.0,1,0.5,freebase,12,1091285,adm,1003,50,n,1,2.0,"zipf#5,50,5,2",5,5,4985,0,hdbscan,43780,1048508,1,0.02853165918263525,0.0031845666666667984,0.053878751698604184,0.025608763155149903,5000,15
hdbscan#min,ms,"0.50,0.50",zipf,0.5,-1,ms#0.00,0.0,1,0.5,freebase,25,1079017,adm,1212,50,n,1,2.0,"zipf#5,50,5,2",5,5,4985,0,hdbscan,43780,1036449,0,0.027953544872414186,0.0031865933333334664,0.05272049641149516,0.02502891234163574,5000,15
hdbscan#min,ms,"0.50,0.50",zipf,0.5,-1,ms#0.00,0.0,1,0.5,freebase,25,1081118,adm,1421,50,n,1,2.0,"zipf#5,50,5,2",5,5,4985,0,hdbscan,43780,1038759,2,0.0280924224593009,0.0031600733333334886,0.05302477158526831,0.02516816779518384,5000,15
hdbscan#min,ms,"0.50,0.50",zipf,0.5,-1,ms#0.25,0.25,1,0.5,freebase,25,1085529,adm,1136,50,n,1,2.0,"zipf#5,50,5,2",5,5,4985,0,hdbscan,43780,1042885,2,0.028180496031986677,0.003196446666666817,0.053164545397306494,0.025256561272474033,5000,15
hdbscan#min,ms,"0.50,0.50",zipf,0.5,-1,ms#0.25,0.25,1,0.5,freebase,25,1092914,adm,1056,50,n,1,2.0,"zipf#5,50,5,2",5,5,4985,0,hdbscan,43780,1050190,0,0.02856995919338351,0.0032115400000000834,0.053928378386767055,0.025647219115524474,5000,15
hdbscan#min,ms,"0.50,0.50",zipf,0.5,-1,ms#0.25,0.25,1,0.5,freebase,25,1107835,adm,1482,50,n,1,2.0,"zipf#5,50,5,2",5,5,4985,0,hdbscan,43780,1065537,1,0.029180984974039637,0.003145140000000071,0.05521682994807927,0.026259983289001886,5000,15
