num_removed_edges,num_fake_edges,num_raw_edges,sample,calgo_str,gen_str,max_k,alpha_dm,num_anonymized_entities,info_loss,info_loss_args_str,max_dist,num_anonymized_fake_entities,enforcer,num_anonymized_edges,za,anonymized_attribute_anonymity,min_k,anonymized_anonymity,enforcer_str,gen,handler_str,alpha_adm,anonymized_degree_anonymity,range_k,data,calgo,gen_n,adm,dm,am,radm,num_raw_entities,removed_entities
488,40399,26576,-1,vac,"zipf#5,50,5,2",50,0.5,1005,adm,"0.50,0.50",0.75,0,ms,66487,2.0,5,5,1,ms#0.75,zipf,n,0.5,1,5,email,vac,1,0.11337894748008379,0.03178040147521094,0.19497749348495563,0.11337894748008379,1005,0
488,40399,26576,-1,vac,"zipf#5,50,5,2",50,0.5,1005,adm,"0.50,0.50",,0,sr,66487,2.0,5,5,1,sr,zipf,n,0.5,1,5,email,vac,1,0.11337894748008379,0.03178040147521094,0.19497749348495563,0.11337894748008379,1005,0
513,54204,26576,-1,hdbscan#max,"zipf#5,50,5,2",50,0.5,1005,adm,"0.50,0.50",0.75,0,ms,80267,2.0,29,5,1,ms#0.75,zipf,n,0.5,1,5,email,hdbscan,1,0.17933304338294254,0.040163362293012386,0.31850272447287453,0.17933304338294254,1005,0
577,54147,26576,-1,km#max,"te#5,50,5",50,0.5,1005,adm,"0.50,0.50",,0,sr,80146,,1,5,1,sr,te,n,0.5,1,5,email,km,0,0.13601459652695985,0.04359991089329466,0.22842928216062675,0.13601459652695985,1005,0
590,19440,26576,-1,hdbscan#min,"zipf#5,50,5,2",50,0.5,1005,adm,"0.50,0.50",0.25,0,ms,45426,2.0,1,5,1,ms#0.25,zipf,n,0.5,1,5,email,hdbscan,2,0.045897378777752976,0.01584119204970173,0.07595356550580445,0.045897378777752976,1005,0
676,25015,26576,-1,hdbscan#mean,"zipf#5,50,5,2",50,0.5,1005,adm,"0.50,0.50",,0,sr,50915,2.0,1,5,1,sr,zipf,n,0.5,1,5,email,hdbscan,0,0.08628895324373158,0.01801737580752952,0.1545605306799336,0.08628895324373158,1005,0
676,25015,26576,-1,hdbscan#min,"zipf#5,50,5,2",50,0.5,1005,adm,"0.50,0.50",,0,sr,50915,2.0,1,5,1,sr,zipf,n,0.5,1,5,email,hdbscan,0,0.08628895324373158,0.01801737580752952,0.1545605306799336,0.08628895324373158,1005,0
694,33683,26576,-1,hdbscan#mean,"zipf#5,50,5,2",50,0.5,1005,adm,"0.50,0.50",0.25,0,ms,59565,2.0,1,5,1,ms#0.25,zipf,n,0.5,1,5,email,hdbscan,0,0.1323841347632839,0.02316675329818569,0.24160151622838227,0.1323841347632839,1005,0
803,31860,26576,-1,km#max,"zipf#5,50,5,2",50,0.5,1005,adm,"0.50,0.50",0.25,0,ms,57633,2.0,1,5,1,ms#0.25,zipf,n,0.5,1,5,email,km,1,0.1251050009370348,0.02147273582337069,0.22873726605069936,0.1251050009370348,1005,0
866,24032,26576,-1,km#mean,"zipf#5,50,5,2",50,0.5,1005,adm,"0.50,0.50",0.25,0,ms,49742,2.0,1,5,1,ms#0.25,zipf,n,0.5,1,5,email,km,0,0.18648120449635255,0.008238409940348008,0.36472399905235797,0.18648120449635255,1005,0
891,24921,26576,-1,km#mean,"zipf#5,50,5,2",50,0.5,1005,adm,"0.50,0.50",0.25,0,ms,50606,2.0,1,5,1,ms#0.25,zipf,n,0.5,1,5,email,km,1,0.20003313213605037,0.008002772208608705,0.3920634920634925,0.20003313213605037,1005,0
916,61680,26576,-1,hdbscan#max,"zipf#5,50,5,2",50,0.5,1005,adm,"0.50,0.50",0.0,0,ms,87340,2.0,29,5,1,ms#0,zipf,n,0.5,1,5,email,hdbscan,1,0.1788510892587526,0.04763347441894995,0.31006870409855425,0.1788510892587526,1005,0
1020,46764,26576,-1,km#min,"zipf#5,50,5,2",50,0.5,1005,adm,"0.50,0.50",0.75,0,ms,72320,2.0,1,5,1,ms#0.75,zipf,n,0.5,1,5,email,km,1,0.18252398278684773,0.03157248582955867,0.3334754797441366,0.18252398278684773,1005,0
1169,27740,26576,-1,km#min,"zipf#5,50,5,2",50,0.5,1005,adm,"0.50,0.50",0.25,0,ms,53147,2.0,1,5,1,ms#0.25,zipf,n,0.5,1,5,email,km,1,0.19721368282963278,0.01051360114848643,0.38391376451078035,0.19721368282963278,1005,0
1200,60685,26576,-1,hdbscan#max,"zipf#5,50,5,2",50,0.5,1005,adm,"0.50,0.50",0.0,0,ms,86061,2.0,27,5,1,ms#0,zipf,n,0.5,1,5,email,hdbscan,2,0.1857363148719798,0.046312715031806076,0.325159914712154,0.1857363148719798,1005,0
1283,17110,26576,-1,hdbscan#mean,"zipf#5,50,5,2",50,0.5,1005,adm,"0.50,0.50",0.25,0,ms,42403,2.0,1,5,1,ms#0.25,zipf,n,0.5,1,5,email,hdbscan,2,0.045435049344606016,0.01361352441771243,0.07725657427149976,0.045435049344606016,1005,0
1336,30523,26576,-1,km#max,"zipf#5,50,5,2",50,0.5,1005,adm,"0.50,0.50",0.25,0,ms,55763,2.0,1,5,1,ms#0.25,zipf,n,0.5,1,5,email,km,0,0.13978409303871553,0.018824286527561258,0.2607438995498694,0.13978409303871553,1005,0
1416,18161,26576,-1,hdbscan#min,"zipf#5,50,5,2",50,0.5,1005,adm,"0.50,0.50",0.0,0,ms,43321,2.0,1,5,1,ms#0,zipf,n,0.5,1,5,email,hdbscan,2,0.04037035858376914,0.014453107596346625,0.06628760957119176,0.04037035858376914,1005,0
