range_k,calgo_str,enforcer_str,gen,info_loss,handler_str,max_k,alpha_adm,info_loss_args_str,gen_str,anony_mode,min_k,data,max_dist,alpha_dm,sample,enforcer,za,calgo,gen_n,adm,dm,am,removed_entities,num_raw_entities,is_invalid_anonymity_clusters,num_big_clusters,radm
1,hdbscan#mean,kp#0.75,te,adm,n,5,0.5,"0.50,0.50","te#2,5,1",anony,2,yago,0.75,0.5,-1,kp,,hdbscan,0.0,0.001943887605529347,0.0018966218997432268,0.0018966218997432268,0.0,8917.0,0.0,1685.0,0.001943887605529347
1,hdbscan#mean,kp#0.75,zipf,adm,n,5,0.5,"0.50,0.50","zipf#2,5,1,2",anony,2,yago,0.75,0.5,-1,kp,2.0,hdbscan,1.0,0.0019381518010360768,0.0018904975669908456,0.0018904975669908456,0.0,8917.0,0.0,238.66666666666666,0.0019381518010360768
1,hdbscan#mean,kp#1.00,te,adm,n,5,0.5,"0.50,0.50","te#2,5,1",anony,2,yago,1.0,0.5,-1,kp,,hdbscan,0.0,0.0019528694212134412,0.0019060775480465731,0.0019060775480465731,0.0,8917.0,0.0,1685.0,0.0019528694212134412
1,hdbscan#mean,kp#1.00,zipf,adm,n,5,0.5,"0.50,0.50","zipf#2,5,1,2",anony,2,yago,1.0,0.5,-1,kp,2.0,hdbscan,1.0,0.0019486321986582258,0.0019017648751195628,0.0019017648751195628,0.0,8917.0,0.0,246.33333333333334,0.0019486321986582258
1,hdbscan#mean,ms#0,te,adm,n,5,0.5,"0.50,0.50","te#2,5,1",anony,2,yago,0.0,0.5,-1,ms,,hdbscan,0.0,0.0007705332095576284,0.0006745766621517433,0.0006745766621517433,0.0,8917.0,0.0,0.0,0.0007705332095576284
1,hdbscan#mean,ms#0,zipf,adm,n,5,0.5,"0.50,0.50","zipf#2,5,1,2",anony,2,yago,0.0,0.5,-1,ms,2.0,hdbscan,1.0,0.07470866392175957,0.0014581986027586442,0.0014581986027586442,652.6666666666666,8917.0,0.0,0.0,0.0015151384460764163
1,hdbscan#mean,ms#0.25,te,adm,n,5,0.5,"0.50,0.50","te#2,5,1",anony,2,yago,0.25,0.5,-1,ms,,hdbscan,0.0,0.0007659797759793584,0.0006712458699166807,0.0006712458699166807,0.0,8917.0,0.0,0.0,0.0007659797759793584
1,hdbscan#mean,ms#0.25,zipf,adm,n,5,0.5,"0.50,0.50","zipf#2,5,1,2",anony,2,yago,0.25,0.5,-1,ms,2.0,hdbscan,1.0,0.0016572389916103432,0.0015224972955908726,0.0015224972955908726,0.0,8917.0,0.0,0.0,0.0016572389916103432
1,hdbscan#mean,ms#0.50,te,adm,n,5,0.5,"0.50,0.50","te#2,5,1",anony,2,yago,0.5,0.5,-1,ms,,hdbscan,0.0,0.0007673497088367618,0.0006724487928161054,0.0006724487928161054,0.0,8917.0,0.0,0.0,0.0007673497088367618
1,hdbscan#mean,ms#0.50,zipf,adm,n,5,0.5,"0.50,0.50","zipf#2,5,1,2",anony,2,yago,0.5,0.5,-1,ms,2.0,hdbscan,1.0,0.0016645838836684109,0.0015292834337219169,0.0015292834337219169,0.0,8917.0,0.0,0.0,0.0016645838836684109
1,hdbscan#mean,ms#0.75,te,adm,n,5,0.5,"0.50,0.50","te#2,5,1",anony,2,yago,0.75,0.5,-1,ms,,hdbscan,0.0,0.0007666148385163661,0.0006716777700173389,0.0006716777700173389,0.0,8917.0,0.0,0.0,0.0007666148385163661
1,hdbscan#mean,ms#0.75,zipf,adm,n,5,0.5,"0.50,0.50","zipf#2,5,1,2",anony,2,yago,0.75,0.5,-1,ms,2.0,hdbscan,1.0,0.0016634015826943367,0.0015250509391376687,0.0015250509391376687,0.0,8917.0,0.0,0.0,0.0016634015826943367
1,hdbscan#mean,ms#1.00,te,adm,n,5,0.5,"0.50,0.50","te#2,5,1",anony,2,yago,1.0,0.5,-1,ms,,hdbscan,0.0,0.0007656153390809834,0.0006706628238374069,0.0006706628238374069,0.0,8917.0,0.0,0.0,0.0007656153390809834
1,hdbscan#mean,ms#1.00,zipf,adm,n,5,0.5,"0.50,0.50","zipf#2,5,1,2",anony,2,yago,1.0,0.5,-1,ms,2.0,hdbscan,1.0,0.0016642322115968135,0.0015289524943130498,0.0015289524943130498,0.0,8917.0,0.0,0.0,0.0016642322115968135
1,hdbscan#mean,sr,te,adm,n,5,0.5,"0.50,0.50","te#2,5,1",anony,2,yago,,0.5,-1,sr,,hdbscan,0.0,0.27019789537076355,0.0016827937568399183,0.0016827937568399183,0.0,8917.0,0.0,338.0,0.27019789537076355
1,hdbscan#mean,sr,zipf,adm,n,5,0.5,"0.50,0.50","zipf#2,5,1,2",anony,2,yago,,0.5,-1,sr,2.0,hdbscan,1.0,0.34334692523138816,0.0022522706409611845,0.0022522706409611845,652.6666666666666,8917.0,0.0,145.0,0.27015339975570507
1,hdbscan#min,kp#0,te,adm,n,5,0.5,"0.50,0.50","te#2,5,1",anony,2,yago,0.0,0.5,-1,kp,,hdbscan,0.0,0.16332832577547948,0.001925175088276623,0.001925175088276623,1442.0,8917.0,0.0,1417.0,0.001614744974761751
1,hdbscan#min,kp#0,zipf,adm,n,5,0.5,"0.50,0.50","zipf#2,5,1,2",anony,2,yago,0.0,0.5,-1,kp,2.0,hdbscan,1.0,0.1633203522534533,0.0019152885324843912,0.0019152885324843912,1442.0,8917.0,0.0,202.33333333333334,0.0016067714527355649
1,hdbscan#min,kp#0.25,te,adm,n,5,0.5,"0.50,0.50","te#2,5,1",anony,2,yago,0.25,0.5,-1,kp,,hdbscan,0.0,0.001948750572398406,0.0019021072613417786,0.0019021072613417786,0.0,8917.0,0.0,1685.0,0.001948750572398406
1,hdbscan#min,kp#0.25,zipf,adm,n,5,0.5,"0.50,0.50","zipf#2,5,1,2",anony,2,yago,0.25,0.5,-1,kp,2.0,hdbscan,1.0,0.0019472383794073523,0.0019000670822844725,0.0019000670822844725,0.0,8917.0,0.0,242.33333333333334,0.0019472383794073523
1,hdbscan#min,kp#0.50,te,adm,n,5,0.5,"0.50,0.50","te#2,5,1",anony,2,yago,0.5,0.5,-1,kp,,hdbscan,0.0,0.0019441824687001861,0.0018970199307506471,0.0018970199307506471,0.0,8917.0,0.0,1685.0,0.0019441824687001861
1,hdbscan#min,kp#0.50,zipf,adm,n,5,0.5,"0.50,0.50","zipf#2,5,1,2",anony,2,yago,0.5,0.5,-1,kp,2.0,hdbscan,1.0,0.0019447284483767356,0.0018976887517699393,0.0018976887517699393,0.0,8917.0,0.0,257.3333333333333,0.0019447284483767356
1,hdbscan#min,kp#0.75,te,adm,n,5,0.5,"0.50,0.50","te#2,5,1",anony,2,yago,0.75,0.5,-1,kp,,hdbscan,0.0,0.0019458386256960847,0.0018990729178582945,0.0018990729178582945,0.0,8917.0,0.0,1685.0,0.0019458386256960847
1,hdbscan#min,kp#0.75,zipf,adm,n,5,0.5,"0.50,0.50","zipf#2,5,1,2",anony,2,yago,0.75,0.5,-1,kp,2.0,hdbscan,1.0,0.0019437704229946578,0.0018964656753704555,0.0018964656753704555,0.0,8917.0,0.0,238.0,0.0019437704229946578
1,hdbscan#min,kp#1.00,te,adm,n,5,0.5,"0.50,0.50","te#2,5,1",anony,2,yago,1.0,0.5,-1,kp,,hdbscan,0.0,0.0019389629029096967,0.0018923339776128383,0.0018923339776128383,0.0,8917.0,0.0,1685.0,0.0019389629029096967
1,hdbscan#min,kp#1.00,zipf,adm,n,5,0.5,"0.50,0.50","zipf#2,5,1,2",anony,2,yago,1.0,0.5,-1,kp,2.0,hdbscan,1.0,0.0019446315183521818,0.0018972942517879812,0.0018972942517879812,0.0,8917.0,0.0,250.0,0.0019446315183521818
1,hdbscan#min,ms#0,te,adm,n,5,0.5,"0.50,0.50","te#2,5,1",anony,2,yago,0.0,0.5,-1,ms,,hdbscan,0.0,0.0007667394671975654,0.0006715479308264062,0.0006715479308264062,0.0,8917.0,0.0,0.0,0.0007667394671975654
1,hdbscan#min,ms#0,zipf,adm,n,5,0.5,"0.50,0.50","zipf#2,5,1,2",anony,2,yago,0.0,0.5,-1,ms,2.0,hdbscan,1.0,0.07471136286051294,0.001465043340988588,0.001465043340988588,652.6666666666666,8917.0,0.0,0.0,0.0015178373848297975
1,hdbscan#min,ms#0.25,te,adm,n,5,0.5,"0.50,0.50","te#2,5,1",anony,2,yago,0.25,0.5,-1,ms,,hdbscan,0.0,0.0007636722047508339,0.0006693055951504826,0.0006693055951504826,0.0,8917.0,0.0,0.0,0.0007636722047508339
1,hdbscan#min,ms#0.25,zipf,adm,n,5,0.5,"0.50,0.50","zipf#2,5,1,2",anony,2,yago,0.25,0.5,-1,ms,2.0,hdbscan,1.0,0.0016579826352326327,0.0015195597993961233,0.0015195597993961233,0.0,8917.0,0.0,0.0,0.0016579826352326327
1,hdbscan#min,ms#0.50,te,adm,n,5,0.5,"0.50,0.50","te#2,5,1",anony,2,yago,0.5,0.5,-1,ms,,hdbscan,0.0,0.0007675321459670814,0.0006722901744126999,0.0006722901744126999,0.0,8917.0,0.0,0.0,0.0007675321459670814
1,hdbscan#min,ms#0.50,zipf,adm,n,5,0.5,"0.50,0.50","zipf#2,5,1,2",anony,2,yago,0.5,0.5,-1,ms,2.0,hdbscan,1.0,0.0016596847655087508,0.0015226894287740475,0.0015226894287740475,0.0,8917.0,0.0,0.0,0.0016596847655087508
1,hdbscan#min,ms#0.75,te,adm,n,5,0.5,"0.50,0.50","te#2,5,1",anony,2,yago,0.75,0.5,-1,ms,,hdbscan,0.0,0.0007646266421995467,0.0006697219515596754,0.0006697219515596754,0.0,8917.0,0.0,0.0,0.0007646266421995467
1,hdbscan#min,ms#0.75,zipf,adm,n,5,0.5,"0.50,0.50","zipf#2,5,1,2",anony,2,yago,0.75,0.5,-1,ms,2.0,hdbscan,1.0,0.0016550382338229783,0.001518295949496001,0.001518295949496001,0.0,8917.0,0.0,0.0,0.0016550382338229783
1,hdbscan#min,ms#1.00,te,adm,n,5,0.5,"0.50,0.50","te#2,5,1",anony,2,yago,1.0,0.5,-1,ms,,hdbscan,0.0,0.0007640924204684083,0.0006697620149478476,0.0006697620149478476,0.0,8917.0,0.0,0.0,0.0007640924204684083
1,hdbscan#min,ms#1.00,zipf,adm,n,5,0.5,"0.50,0.50","zipf#2,5,1,2",anony,2,yago,1.0,0.5,-1,ms,2.0,hdbscan,1.0,0.0016600627022387829,0.0015256940443380213,0.0015256940443380213,0.0,8917.0,0.0,0.0,0.0016600627022387829
1,hdbscan#min,sr,te,adm,n,5,0.5,"0.50,0.50","te#2,5,1",anony,2,yago,,0.5,-1,sr,,hdbscan,0.0,0.27019789537076355,0.0016827937568399183,0.0016827937568399183,0.0,8917.0,0.0,338.0,0.27019789537076355
1,hdbscan#min,sr,zipf,adm,n,5,0.5,"0.50,0.50","zipf#2,5,1,2",anony,2,yago,,0.5,-1,sr,2.0,hdbscan,1.0,0.34334692523138827,0.0022522706409611845,0.0022522706409611845,652.6666666666666,8917.0,0.0,145.0,0.27015339975570507
1,km#max,kp#0,te,adm,n,5,0.5,"0.50,0.50","te#2,5,1",anony,2,yago,0.0,0.5,-1,kp,,km,0.0,0.22302849079748807,0.0012201163643750096,0.0012201163643750096,1980.0,8917.0,0.0,1337.0,0.000980716882494243
1,km#max,kp#0,zipf,adm,n,5,0.5,"0.50,0.50","zipf#2,5,1,2",anony,2,yago,0.0,0.5,-1,kp,2.0,km,1.0,0.2123481579057627,0.001213738158280244,0.001213738158280244,1884.6666666666667,8917.0,0.0,169.0,0.0009915731051944867
1,km#max,kp#0.25,te,adm,n,5,0.5,"0.50,0.50","te#2,5,1",anony,2,yago,0.25,0.5,-1,kp,,km,0.0,0.0023753090112469694,0.0017058331775606462,0.0017058331775606462,5.0,8917.0,0.0,1723.0,0.0018145823094414294
1,km#max,kp#0.25,zipf,adm,n,5,0.5,"0.50,0.50","zipf#2,5,1,2",anony,2,yago,0.25,0.5,-1,kp,2.0,km,1.0,0.0023602865880573616,0.0016939763196485759,0.0016939763196485759,5.0,8917.0,0.0,216.33333333333334,0.0017995598862518218
1,km#max,kp#0.50,te,adm,n,5,0.5,"0.50,0.50","te#2,5,1",anony,2,yago,0.5,0.5,-1,kp,,km,0.0,0.001961116280918786,0.0017405100480568324,0.0017405100480568324,1.0,8917.0,0.0,1727.0,0.0018489709405576777
1,km#max,kp#0.50,zipf,adm,n,5,0.5,"0.50,0.50","zipf#2,5,1,2",anony,2,yago,0.5,0.5,-1,kp,2.0,km,1.0,0.0019478267806343954,0.0017267266852370531,0.0017267266852370531,1.0,8917.0,0.0,224.66666666666666,0.0018356814402732877
1,km#max,kp#0.75,te,adm,n,5,0.5,"0.50,0.50","te#2,5,1",anony,2,yago,0.75,0.5,-1,kp,,km,0.0,0.001870363574557479,0.0017600299279365277,0.0017600299279365277,0.0,8917.0,0.0,1726.0,0.001870363574557479
1,km#max,kp#0.75,zipf,adm,n,5,0.5,"0.50,0.50","zipf#2,5,1,2",anony,2,yago,0.75,0.5,-1,kp,2.0,km,1.0,0.0018533329213017563,0.0017417703223675304,0.0017417703223675304,0.0,8917.0,0.0,218.0,0.0018533329213017563
1,km#max,kp#1.00,te,adm,n,5,0.5,"0.50,0.50","te#2,5,1",anony,2,yago,1.0,0.5,-1,kp,,km,0.0,0.0018687051335692496,0.0017605414601481967,0.0017605414601481967,0.0,8917.0,0.0,1726.0,0.0018687051335692496
1,km#max,kp#1.00,zipf,adm,n,5,0.5,"0.50,0.50","zipf#2,5,1,2",anony,2,yago,1.0,0.5,-1,kp,2.0,km,1.0,0.0018470184060059335,0.0017371440928706672,0.0017371440928706672,0.0,8917.0,0.0,219.33333333333334,0.0018470184060059335
1,km#max,ms#0,te,adm,n,5,0.5,"0.50,0.50","te#2,5,1",anony,2,yago,0.0,0.5,-1,ms,,km,0.0,0.16020720872856745,0.0003325062957516516,0.0003325062957516516,1426.0,8917.0,0.0,0.0,0.00028795337362743327
1,km#max,ms#0,zipf,adm,n,5,0.5,"0.50,0.50","zipf#2,5,1,2",anony,2,yago,0.0,0.5,-1,ms,2.0,km,1.0,0.18774938003875108,0.0010174643356551168,0.0010174643356551168,1666.0,8917.0,0.0,0.0,0.0009152429971451683
1,km#max,ms#0.25,te,adm,n,5,0.5,"0.50,0.50","te#2,5,1",anony,2,yago,0.25,0.5,-1,ms,,km,0.0,0.0009341831305501941,0.0004573154384645869,0.0004573154384645869,4.0,8917.0,0.0,0.0,0.0004856017691057621
1,km#max,ms#0.25,zipf,adm,n,5,0.5,"0.50,0.50","zipf#2,5,1,2",anony,2,yago,0.25,0.5,-1,ms,2.0,km,1.0,0.002105202002028347,0.0013931971338913905,0.0013931971338913905,5.0,8917.0,0.0,0.0,0.0015444753002228067
1,km#max,ms#0.50,te,adm,n,5,0.5,"0.50,0.50","te#2,5,1",anony,2,yago,0.5,0.5,-1,ms,,km,0.0,0.000604429499805688,0.0004618166561535454,0.0004618166561535454,1.0,8917.0,0.0,0.0,0.0004922841594445801
1,km#max,ms#0.50,zipf,adm,n,5,0.5,"0.50,0.50","zipf#2,5,1,2",anony,2,yago,0.5,0.5,-1,ms,2.0,km,1.0,0.0016730502842444127,0.0014005890276780335,0.0014005890276780335,1.0,8917.0,0.0,0.0,0.0015609049438833047
1,km#max,ms#0.75,te,adm,n,5,0.5,"0.50,0.50","te#2,5,1",anony,2,yago,0.75,0.5,-1,ms,,km,0.0,0.0005181426129828219,0.00047137112894400727,0.00047137112894400727,0.0,8917.0,0.0,0.0,0.0005181426129828219
1,km#max,ms#0.75,zipf,adm,n,5,0.5,"0.50,0.50","zipf#2,5,1,2",anony,2,yago,0.75,0.5,-1,ms,2.0,km,1.0,0.0015751357158422744,0.0014128447138541135,0.0014128447138541135,0.0,8917.0,0.0,0.0,0.0015751357158422744
1,km#max,ms#1.00,te,adm,n,5,0.5,"0.50,0.50","te#2,5,1",anony,2,yago,1.0,0.5,-1,ms,,km,0.0,0.0005165792643959772,0.0004700145854066322,0.0004700145854066322,0.0,8917.0,0.0,0.0,0.0005165792643959772
1,km#max,ms#1.00,zipf,adm,n,5,0.5,"0.50,0.50","zipf#2,5,1,2",anony,2,yago,1.0,0.5,-1,ms,2.0,km,1.0,0.0015856137101598383,0.001422493967681536,0.001422493967681536,0.0,8917.0,0.0,0.0,0.0015856137101598383
1,km#max,sr,te,adm,n,5,0.5,"0.50,0.50","te#2,5,1",anony,2,yago,,0.5,-1,sr,,km,0.0,0.18827207169105412,0.0029875851487605825,0.0029875851487605825,1426.0,8917.0,0.0,171.0,0.02835281633611412
1,km#max,sr,zipf,adm,n,5,0.5,"0.50,0.50","zipf#2,5,1,2",anony,2,yago,,0.5,-1,sr,2.0,km,1.0,0.21500116742438027,0.004565083459471012,0.004565083459471012,1666.0,8917.0,0.0,107.0,0.028167030382774388
1,km#mean,kp#0,te,adm,n,5,0.5,"0.50,0.50","te#2,5,1",anony,2,yago,0.0,0.5,-1,kp,,km,0.0,0.5037832961709756,0.0006782477126891788,0.0006782477126891788,4489.0,8917.0,0.0,828.0,0.0003628632899617663
1,km#mean,kp#0,zipf,adm,n,5,0.5,"0.50,0.50","zipf#2,5,1,2",anony,2,yago,0.0,0.5,-1,kp,2.0,km,1.0,0.5077018460054525,0.0006700799374675007,0.0006700799374675007,4524.0,8917.0,0.0,114.33333333333333,0.00035632621179994983
1,km#mean,kp#0.25,te,adm,n,5,0.5,"0.50,0.50","te#2,5,1",anony,2,yago,0.25,0.5,-1,kp,,km,0.0,0.0024452971918184616,0.001769334724341706,0.001769334724341706,5.0,8917.0,0.0,1717.0,0.0018845704900129216
