range_k,calgo_str,enforcer_str,gen,info_loss,handler_str,max_k,alpha_adm,info_loss_args_str,gen_str,anony_mode,min_k,data,max_dist,alpha_dm,sample,enforcer,za,calgo,gen_n,adm,dm,am,removed_entities,num_raw_entities,is_invalid_anonymity_clusters,num_big_clusters,radm
1,hdbscan#mean,ms#0.25,te,adm,n,5,0.5,"0.50,0.50","te#2,5,1",anony,2,freebase,0.25,0.5,-1,ms,,hdbscan,0.0,0.001624894387021803,0.0012770804467176395,0.0012770804467176395,0.0,5000.0,0.0,0.0,0.001624894387021803
1,hdbscan#mean,ms#0.25,zipf,adm,n,5,0.5,"0.50,0.50","zipf#2,5,1,2",anony,2,freebase,0.25,0.5,-1,ms,2.0,hdbscan,1.0,0.002552613154326502,0.0023995559814829204,0.0023995559814829204,0.0,5000.0,0.0,0.0,0.002552613154326502
1,hdbscan#mean,ms#0.50,te,adm,n,5,0.5,"0.50,0.50","te#2,5,1",anony,2,freebase,0.5,0.5,-1,ms,,hdbscan,0.0,0.0016154581847847166,0.001277889879017699,0.001277889879017699,0.0,5000.0,0.0,0.0,0.0016154581847847166
1,hdbscan#mean,ms#0.50,zipf,adm,n,5,0.5,"0.50,0.50","zipf#2,5,1,2",anony,2,freebase,0.5,0.5,-1,ms,2.0,hdbscan,1.0,0.0025577045243681757,0.002390255493925212,0.002390255493925212,0.0,5000.0,0.0,0.0,0.0025577045243681757
1,hdbscan#mean,ms#0.75,te,adm,n,5,0.5,"0.50,0.50","te#2,5,1",anony,2,freebase,0.75,0.5,-1,ms,,hdbscan,0.0,0.0016109001557419336,0.001275789467788613,0.001275789467788613,0.0,5000.0,0.0,0.0,0.0016109001557419336
1,hdbscan#mean,ms#0.75,zipf,adm,n,5,0.5,"0.50,0.50","zipf#2,5,1,2",anony,2,freebase,0.75,0.5,-1,ms,2.0,hdbscan,1.0,0.0025361478178328885,0.0023660215689345772,0.0023660215689345772,0.0,5000.0,0.0,0.0,0.0025361478178328885
1,hdbscan#mean,ms#1.00,te,adm,n,5,0.5,"0.50,0.50","te#2,5,1",anony,2,freebase,1.0,0.5,-1,ms,,hdbscan,0.0,0.0016511631785212505,0.001296970435772357,0.001296970435772357,0.0,5000.0,0.0,0.0,0.0016511631785212505
1,hdbscan#mean,ms#1.00,zipf,adm,n,5,0.5,"0.50,0.50","zipf#2,5,1,2",anony,2,freebase,1.0,0.5,-1,ms,2.0,hdbscan,1.0,0.0025470851950455584,0.002389763425182272,0.002389763425182272,0.0,5000.0,0.0,0.0,0.0025470851950455584
1,hdbscan#mean,sr,te,adm,n,5,0.5,"0.50,0.50","te#2,5,1",anony,2,freebase,,0.5,-1,sr,,hdbscan,0.0,0.32144797991669327,0.0165415911819987,0.0165415911819987,2.0,5000.0,0.0,26.0,0.32104797991669326
1,hdbscan#mean,sr,zipf,adm,n,5,0.5,"0.50,0.50","zipf#2,5,1,2",anony,2,freebase,,0.5,-1,sr,2.0,hdbscan,1.0,0.3267786053623077,0.02070723087385642,0.02070723087385642,28.666666666666668,5000.0,0.0,14.333333333333334,0.32104527202897426
1,hdbscan#min,kp#0,te,adm,n,5,0.5,"0.50,0.50","te#2,5,1",anony,2,freebase,0.0,0.5,-1,kp,,hdbscan,0.0,0.017910815125853363,0.002741131309161478,0.002741131309161478,76.0,5000.0,0.0,711.0,0.002710815125853361
1,hdbscan#min,kp#0,zipf,adm,n,5,0.5,"0.50,0.50","zipf#2,5,1,2",anony,2,freebase,0.0,0.5,-1,kp,2.0,hdbscan,1.0,0.017911404448334153,0.002740757816208616,0.002740757816208616,76.0,5000.0,0.0,120.66666666666667,0.002711404448334153
1,hdbscan#min,kp#0.25,te,adm,n,5,0.5,"0.50,0.50","te#2,5,1",anony,2,freebase,0.25,0.5,-1,kp,,hdbscan,0.0,0.0027346023782113863,0.002720165477273637,0.002720165477273637,0.0,5000.0,0.0,720.0,0.0027346023782113863
1,hdbscan#min,kp#0.25,zipf,adm,n,5,0.5,"0.50,0.50","zipf#2,5,1,2",anony,2,freebase,0.25,0.5,-1,kp,2.0,hdbscan,1.0,0.0027403623736179977,0.002724958649569027,0.002724958649569027,0.0,5000.0,0.0,118.66666666666667,0.0027403623736179977
1,hdbscan#min,kp#0.50,te,adm,n,5,0.5,"0.50,0.50","te#2,5,1",anony,2,freebase,0.5,0.5,-1,kp,,hdbscan,0.0,0.0027305400377380562,0.0027166057601521925,0.0027166057601521925,0.0,5000.0,0.0,720.0,0.0027305400377380562
