data,sample,anony_mode,gen,gen_args,gen_str,gen_n,max_k,min_k,range_k,info_loss,alpha_adm,alpha_dm,info_loss_args,info_loss_args_str,handler_str,calgo,calgo_args,calgo_str,enforcer,enforcer_str,enforcer_args,adm,dm,am,removed_entities,num_raw_entities,is_invalid_anonymity_clusters,num_big_clusters,radm,max_dist,za
freebase,-1,anony,te,"2,5,1","te#2,5,1",0,5,2,1,adm,0.5,0.5,"[0.5, 0.5]","0.50,0.50",n,km,max,km#max,ms,ms#0.50,0.50,0.0012393949962012413,0.0010878786445853304,0.0010878786445853304,0,5000,0,0,0.0012393949962012413,0.5,
freebase,-1,anony,te,"2,5,1","te#2,5,1",0,5,2,1,adm,0.5,0.5,"[0.5, 0.5]","0.50,0.50",n,km,max,km#max,ms,ms#0.75,0.75,0.0012349534683659615,0.001085564333337213,0.001085564333337213,0,5000,0,0,0.0012349534683659615,0.75,
freebase,-1,anony,te,"2,5,1","te#2,5,1",0,5,2,1,adm,0.5,0.5,"[0.5, 0.5]","0.50,0.50",n,km,max,km#max,ms,ms#0,0,0.12019256895021808,0.0008095772755568791,0.0008095772755568791,597,5000,0,0,0.0007925689502180903,0.0,
freebase,-1,anony,te,"2,5,1","te#2,5,1",0,5,2,1,adm,0.5,0.5,"[0.5, 0.5]","0.50,0.50",n,km,max,km#max,ms,ms#1.00,1.00,0.0012469759458959401,0.0010931436315804169,0.0010931436315804169,0,5000,0,0,0.0012469759458959401,1.0,
freebase,-1,anony,te,"2,5,1","te#2,5,1",0,5,2,1,adm,0.5,0.5,"[0.5, 0.5]","0.50,0.50",n,km,max,km#max,sr,sr,,0.13404472022618635,0.003887569551908971,0.003887569551908971,597,5000,0,249,0.014644720226186368,,
freebase,-1,anony,te,"2,5,1","te#2,5,1",0,5,2,1,adm,0.5,0.5,"[0.5, 0.5]","0.50,0.50",n,km,mean,km#mean,kp,kp#0.25,0.25,0.006103302674215612,0.0029458207612814624,0.0029458207612814624,15,5000,0,778,0.0031033026742156118,0.25,
freebase,-1,anony,te,"2,5,1","te#2,5,1",0,5,2,1,adm,0.5,0.5,"[0.5, 0.5]","0.50,0.50",n,km,mean,km#mean,kp,kp#0.50,0.50,0.003395959632245021,0.0031366793181370465,0.0031366793181370465,0,5000,0,766,0.003395959632245021,0.5,
freebase,-1,anony,te,"5,50,5","te#5,50,5",0,50,5,5,adm,0.5,0.5,"[0.5, 0.5]","0.50,0.50",n,km,max,km#max,ms,ms#0,0,0.11074668819359365,0.014238240521060203,0.014238240521060203,483,5000,0,0,0.014146688193593647,0.0,
freebase,-1,anony,te,"5,50,5","te#5,50,5",0,50,5,5,adm,0.5,0.5,"[0.5, 0.5]","0.50,0.50",n,km,max,km#max,ms,ms#1.00,1.00,0.01782828722802983,0.015751038456463747,0.015751038456463747,0,5000,0,0,0.01782828722802983,1.0,
freebase,-1,anony,te,"5,50,5","te#5,50,5",0,50,5,5,adm,0.5,0.5,"[0.5, 0.5]","0.50,0.50",n,km,max,km#max,sr,sr,,0.19276277460671823,0.0355469852218225,0.0355469852218225,483,5000,0,20,0.09616277460671821,,
