data,sample,anony_mode,gen,gen_args,gen_str,gen_n,max_k,min_k,range_k,info_loss,alpha_adm,alpha_dm,info_loss_args,info_loss_args_str,handler_str,calgo,calgo_args,calgo_str,enforcer,enforcer_str,enforcer_args,adm,dm,am,removed_entities,num_raw_entities,is_invalid_anonymity_clusters,num_big_clusters,radm,max_dist,za
yago,-1,anony,zipf,"5,50,5,2","zipf#5,50,5,2",2,50,5,5,adm,0.5,0.5,"[0.5, 0.5]","0.50,0.50",n,km,min,km#min,kp,kp#1.00,1.00,0.016842826713690272,0.016394543839215934,0.016394543839215934,0,8917,0,1,0.016842826713690272,1.0,2.0
yago,-1,anony,zipf,"5,50,5,2","zipf#5,50,5,2",2,50,5,5,adm,0.5,0.5,"[0.5, 0.5]","0.50,0.50",n,km,min,km#min,ms,ms#0.25,0.25,0.016342622585936304,0.014804993931733903,0.014804993931733903,5,8917,0,0,0.015781895884130762,0.25,2.0
yago,-1,anony,zipf,"5,50,5,2","zipf#5,50,5,2",2,50,5,5,adm,0.5,0.5,"[0.5, 0.5]","0.50,0.50",n,km,min,km#min,ms,ms#0.50,0.50,0.016304888897644292,0.01556711789445159,0.01556711789445159,1,8917,0,0,0.016192743557283184,0.5,2.0
yago,-1,anony,zipf,"5,50,5,2","zipf#5,50,5,2",2,50,5,5,adm,0.5,0.5,"[0.5, 0.5]","0.50,0.50",n,km,min,km#min,ms,ms#0.75,0.75,0.01611388203868522,0.01555427566768726,0.01555427566768726,0,8917,0,0,0.01611388203868522,0.75,2.0
yago,-1,anony,zipf,"5,50,5,2","zipf#5,50,5,2",2,50,5,5,adm,0.5,0.5,"[0.5, 0.5]","0.50,0.50",n,km,min,km#min,ms,ms#0,0,0.35982105065520037,0.00953023368755616,0.00953023368755616,3149,8917,0,0,0.006675373858071276,0.0,2.0
yago,-1,anony,zipf,"5,50,5,2","zipf#5,50,5,2",2,50,5,5,adm,0.5,0.5,"[0.5, 0.5]","0.50,0.50",n,km,min,km#min,ms,ms#1.00,1.00,0.01590998152770475,0.01547260104110496,0.01547260104110496,0,8917,0,0,0.01590998152770475,1.0,2.0
yago,-1,anony,zipf,"5,50,5,2","zipf#5,50,5,2",2,50,5,5,adm,0.5,0.5,"[0.5, 0.5]","0.50,0.50",n,km,min,km#min,sr,sr,,0.3840831137593621,0.01780809806061534,0.01780809806061534,3149,8917,0,13,0.030937436962233063,,2.0
yago,-1,anony,zipf,"5,50,5,2","zipf#5,50,5,2",2,50,5,5,adm,0.5,0.5,"[0.5, 0.5]","0.50,0.50",n,vac,,vac,kp,kp#0.25,0.25,0.017387485330848596,0.016220776821368542,0.016220776821368542,5,8917,0,42,0.016826758629043058,0.25,2.0
yago,-1,anony,zipf,"5,50,5,2","zipf#5,50,5,2",2,50,5,5,adm,0.5,0.5,"[0.5, 0.5]","0.50,0.50",n,vac,,vac,kp,kp#0.50,0.50,0.017172022698396693,0.016354575533364717,0.016354575533364717,1,8917,0,48,0.017059877358035585,0.5,2.0
yago,-1,anony,zipf,"5,50,5,2","zipf#5,50,5,2",2,50,5,5,adm,0.5,0.5,"[0.5, 0.5]","0.50,0.50",n,vac,,vac,kp,kp#0.75,0.75,0.01730763007992841,0.016597989316376453,0.016597989316376453,0,8917,0,42,0.01730763007992841,0.75,2.0
