data,sample,anony_mode,gen,gen_args,gen_str,gen_n,max_k,min_k,range_k,info_loss,alpha_adm,alpha_dm,info_loss_args,info_loss_args_str,handler_str,calgo,calgo_args,calgo_str,enforcer,enforcer_str,enforcer_args,max_dist,adm,dm,am,removed_entities,num_raw_entities,is_invalid_anonymity_clusters,num_big_clusters,radm,za
email,-1,anony,zipf,"5,50,5,2","zipf#5,50,5,2",1,50,5,5,adm,0.5,0.5,"[0.5, 0.5]","0.50,0.50",n,vac,,vac,ms,ms#0,0,0.0,0.11510910267426196,0.04932407957609816,0.04932407957609816,0,1005,0,0,0.11510910267426196,2.0
email,-1,anony,zipf,"5,50,5,2","zipf#5,50,5,2",1,50,5,5,adm,0.5,0.5,"[0.5, 0.5]","0.50,0.50",n,vac,,vac,ms,ms#1.00,1.00,1.0,0.11510910267426196,0.04932407957609816,0.04932407957609816,0,1005,0,0,0.11510910267426196,2.0
email,-1,anony,zipf,"5,50,5,2","zipf#5,50,5,2",1,50,5,5,adm,0.5,0.5,"[0.5, 0.5]","0.50,0.50",n,vac,,vac,sr,sr,,,0.11510910267426196,0.04932407957609816,0.04932407957609816,0,1005,0,0,0.11510910267426196,2.0
email,-1,anony,zipf,"5,50,5,2","zipf#5,50,5,2",2,50,5,5,adm,0.5,0.5,"[0.5, 0.5]","0.50,0.50",n,hdbscan,max,hdbscan#max,kp,kp#0.25,0.25,0.25,0.18323008270658084,0.19018392309491902,0.19018392309491902,0,1005,0,1,0.18323008270658084,2.0
email,-1,anony,zipf,"5,50,5,2","zipf#5,50,5,2",2,50,5,5,adm,0.5,0.5,"[0.5, 0.5]","0.50,0.50",n,hdbscan,max,hdbscan#max,kp,kp#0.50,0.50,0.5,0.18508063803229763,0.19178001205565529,0.19178001205565529,0,1005,0,0,0.18508063803229763,2.0
email,-1,anony,zipf,"5,50,5,2","zipf#5,50,5,2",2,50,5,5,adm,0.5,0.5,"[0.5, 0.5]","0.50,0.50",n,hdbscan,max,hdbscan#max,kp,kp#0.75,0.75,0.75,0.1892121128543494,0.1958207328215736,0.1958207328215736,0,1005,0,0,0.1892121128543494,2.0
email,-1,anony,zipf,"5,50,5,2","zipf#5,50,5,2",1,50,5,5,adm,0.5,0.5,"[0.5, 0.5]","0.50,0.50",n,hdbscan,max,hdbscan#max,ms,ms#0,0,0.0,0.18150795418783827,0.17851302250810433,0.17851302250810433,0,1005,0,0,0.18150795418783827,2.0
email,-1,anony,zipf,"5,50,5,2","zipf#5,50,5,2",1,50,5,5,adm,0.5,0.5,"[0.5, 0.5]","0.50,0.50",n,hdbscan,max,hdbscan#max,ms,ms#1.00,1.00,1.0,0.17652664184408445,0.17536803316908522,0.17536803316908522,0,1005,0,0,0.17652664184408445,2.0
email,-1,anony,zipf,"5,50,5,2","zipf#5,50,5,2",1,50,5,5,adm,0.5,0.5,"[0.5, 0.5]","0.50,0.50",n,hdbscan,max,hdbscan#max,sr,sr,,,0.3734656850785186,0.18201496585802282,0.18201496585802282,0,1005,0,4,0.3734656850785186,2.0
email,-1,anony,zipf,"5,50,5,2","zipf#5,50,5,2",1,50,5,5,adm,0.5,0.5,"[0.5, 0.5]","0.50,0.50",n,hdbscan,mean,hdbscan#mean,kp,kp#0.25,0.25,0.25,0.7639156032205708,0.1741163417128418,0.1741163417128418,717,1005,0,0,0.050482767399675346,2.0
email,-1,anony,zipf,"5,50,5,2","zipf#5,50,5,2",1,50,5,5,adm,0.5,0.5,"[0.5, 0.5]","0.50,0.50",n,hdbscan,mean,hdbscan#mean,kp,kp#0.50,0.50,0.5,0.18209425509269578,0.17913413147541735,0.17913413147541735,2,1005,0,1,0.180104205341452,2.0
email,-1,anony,zipf,"5,50,5,2","zipf#5,50,5,2",1,50,5,5,adm,0.5,0.5,"[0.5, 0.5]","0.50,0.50",n,hdbscan,mean,hdbscan#mean,kp,kp#0.75,0.75,0.75,0.17931401980856207,0.17734037010126985,0.17734037010126985,0,1005,0,0,0.17931401980856207,2.0
email,-1,anony,zipf,"5,50,5,2","zipf#5,50,5,2",1,50,5,5,adm,0.5,0.5,"[0.5, 0.5]","0.50,0.50",n,hdbscan,mean,hdbscan#mean,kp,kp#0,0,0.0,0.7624289356345494,0.16888827190906805,0.16888827190906805,717,1005,0,0,0.04899609981365385,2.0
email,-1,anony,zipf,"5,50,5,2","zipf#5,50,5,2",1,50,5,5,adm,0.5,0.5,"[0.5, 0.5]","0.50,0.50",n,hdbscan,mean,hdbscan#mean,kp,kp#1.00,1.00,1.0,0.18380358336250516,0.1818608446851158,0.1818608446851158,0,1005,0,0,0.18380358336250516,2.0
email,-1,anony,zipf,"5,50,5,2","zipf#5,50,5,2",1,50,5,5,adm,0.5,0.5,"[0.5, 0.5]","0.50,0.50",n,hdbscan,mean,hdbscan#mean,ms,ms#0.25,0.25,0.25,0.5113479864359793,0.14865544419982016,0.14865544419982016,417,1005,0,0,0.09642261330165097,2.0
email,-1,anony,zipf,"5,50,5,2","zipf#5,50,5,2",1,50,5,5,adm,0.5,0.5,"[0.5, 0.5]","0.50,0.50",n,hdbscan,mean,hdbscan#mean,ms,ms#0.50,0.50,0.5,0.18493697114993626,0.1704196058178717,0.1704196058178717,2,1005,0,0,0.18294692139869248,2.0
email,-1,anony,zipf,"5,50,5,2","zipf#5,50,5,2",1,50,5,5,adm,0.5,0.5,"[0.5, 0.5]","0.50,0.50",n,hdbscan,mean,hdbscan#mean,ms,ms#0.75,0.75,0.75,0.18107352363979679,0.1802143743383957,0.1802143743383957,0,1005,0,0,0.18107352363979679,2.0
email,-1,anony,zipf,"5,50,5,2","zipf#5,50,5,2",2,50,5,5,adm,0.5,0.5,"[0.5, 0.5]","0.50,0.50",n,hdbscan,max,hdbscan#max,kp,kp#1.00,1.00,1.0,0.18765677652957669,0.19419092667025736,0.19419092667025736,0,1005,0,1,0.18765677652957669,2.0
email,-1,anony,zipf,"5,50,5,2","zipf#5,50,5,2",2,50,5,5,adm,0.5,0.5,"[0.5, 0.5]","0.50,0.50",n,hdbscan,max,hdbscan#max,ms,ms#0.25,0.25,0.25,0.1901641755684972,0.19690254752644945,0.19690254752644945,0,1005,0,0,0.1901641755684972,2.0
