info_loss_args_str,anony_mode,min_k,za,gen,enforcer_str,sample,handler_str,alpha_dm,enforcer,calgo,max_k,data,gen_str,alpha_adm,max_dist,calgo_str,info_loss,range_k,gen_n,adm,dm,am,removed_entities,num_raw_entities,is_invalid_anonymity_clusters,num_big_clusters,radm
"0.50,0.50",anony,2,2.0,zipf,kp#1.00,-1,n,0.5,kp,km,5,email,"zipf#2,5,1,2",0.5,1.0,km#max,adm,1,1.0,0.014510920875367298,0.013588590543545574,0.013588590543545574,0.0,1005.0,0.0,35.0,0.014510920875367298
"0.50,0.50",anony,2,2.0,zipf,kp#1.00,-1,n,0.5,kp,km,5,email,"zipf#2,5,1,2",0.5,1.0,km#mean,adm,1,1.0,0.022066992684056614,0.021007089896832375,0.021007089896832375,0.0,1005.0,0.0,26.666666666666668,0.022066992684056614
"0.50,0.50",anony,2,2.0,zipf,kp#1.00,-1,n,0.5,kp,km,5,email,"zipf#2,5,1,2",0.5,1.0,km#min,adm,1,1.0,0.02247681280873529,0.021295640389952936,0.021295640389952936,0.0,1005.0,0.0,25.333333333333332,0.02247681280873529
"0.50,0.50",anony,2,2.0,zipf,kp#1.00,-1,n,0.5,kp,vac,5,email,"zipf#2,5,1,2",0.5,1.0,vac,adm,1,1.0,0.019785295272040638,0.018775070800571492,0.018775070800571492,0.0,1005.0,0.0,31.666666666666668,0.019785295272040638
"0.50,0.50",anony,2,2.0,zipf,ms#0,-1,n,0.5,ms,hdbscan,5,email,"zipf#2,5,1,2",0.5,0.0,hdbscan#max,adm,1,1.0,0.011320606161327918,0.010704090874390454,0.010704090874390454,0.0,1005.0,0.0,0.0,0.011320606161327918
"0.50,0.50",anony,2,2.0,zipf,ms#0,-1,n,0.5,ms,hdbscan,5,email,"zipf#2,5,1,2",0.5,0.0,hdbscan#mean,adm,1,1.0,0.1333985603845261,0.008748860779844833,0.008748860779844833,125.33333333333333,1005.0,0.0,0.0,0.008688775973249125
"0.50,0.50",anony,2,2.0,zipf,ms#0,-1,n,0.5,ms,hdbscan,5,email,"zipf#2,5,1,2",0.5,0.0,hdbscan#min,adm,1,1.0,0.13331600702952898,0.008677838478325936,0.008677838478325936,125.33333333333333,1005.0,0.0,0.0,0.008606222618252021
"0.50,0.50",anony,2,2.0,zipf,ms#0,-1,n,0.5,ms,km,5,email,"zipf#2,5,1,2",0.5,0.0,km#max,adm,1,1.0,0.14933574251462423,0.002179226150077082,0.002179226150077082,148.0,1005.0,0.0,0.0,0.002072060922584425
"0.50,0.50",anony,2,2.0,zipf,ms#0,-1,n,0.5,ms,km,5,email,"zipf#2,5,1,2",0.5,0.0,km#mean,adm,1,1.0,0.5058153676064124,0.0006235790754834604,0.0006235790754834604,508.0,1005.0,0.0,0.0,0.00034273079049198423
"0.50,0.50",anony,2,2.0,zipf,ms#0,-1,n,0.5,ms,km,5,email,"zipf#2,5,1,2",0.5,0.0,km#min,adm,1,1.0,0.5028322731285529,0.0006181460758993567,0.0006181460758993567,505.0,1005.0,0.0,0.0,0.00034471093949819693
